,0,1,2
0,"We are happy to announce we are now working with @TheHealthStore &amp; @queenswoodfoods to provide our health, natural &amp; organic food customers with a great range of products &amp; the ability to download product information directly to our EPOS system. https://t.co/Ilzev4OPSW",0,0
1,My country's food is actually UNDERRATED 🇹🇷 https://t.co/ypvXUGwrel,0,0
2,i hate how my mom handles lunch so much it only gives me stress,0,0
3,"Hi Gerda, the dishes were fantastic. The salmon was really awesome. We loved all the food! Thank you so much. 😊Sarah from Stuttgart, Germany.
#clientfeedback❤️ #clientlove #privatechef #catering #privatechefservices https://t.co/lVbwaOwPKs",0,0
4,"@Franks2ndlife @laurenboebert And Putin hadn't unleashed a Genocidal War against the Ukrainian People(and an Energy and Food War against the entire World) at that point, so that may have in some small way contributed to why fuel costs spiked(I say spiked, because clearly fuel prices have toppled from peaks).",0,0
5,"@LucasSWGirl You could equate it to buying someone a coffee or lunch while conversing, but only if you felt inclined to do those kinds of things in the first place.",0,0
6,I demanded to know who is providing u with this information cus every South Asian I know regularly eats donner and has every Turkish restaurant saved in their favourites https://t.co/t5l9aqdZ6f,0,0
7,"#SUNGCHAN 💭

I'm going to eat rice cakes for dinner

I suddenly wanted injeolmi too so I ordered that too

I had honey rice cake and half moon rice cake for lunch

The rice cake has no rice in it

anyway today is rice cake day

It will be a healthy day https://t.co/e1mP7Ldr3w",0,1
8,"Dear All 
Did you have your lunch?",0,0
9,"@Chantaie Industrial food systems hurt farmers. Loblaws is bad for Canadian agriculture. 

This chicken is the Free From brand which undermines organic farmers by the way. It is not conventional chicken. Hence the price.",0,0
10,"#ThoughtForFood
#FoodForThought
The best cuisines in the world list …1. Europeans dominate,20 of the 50…2. Only 15 are Asian cuisines…3. No African country in the Top 35 …4. Many not widely or well marketed like Filipino , Ukrainian or Myanmar food losing out. 
#BestCuisines https://t.co/DUWZ1h0Brn",0,0
11,"Nice lunch today 😌🍷 chill ~

#Melbourne#aussie https://t.co/PELWfVFZod",0,0
12,Tiger plays with crab; Mad sheep strides to meadow; Lunch girl gripes lightly.,0,0
13,"Lunch time is here, pay for your meal using FlexiPay at no charges on transactions made.

 Leave alone the merchant codes that have been charging quite high lately. 

That’s in the past now

Dial *291#  follow prompts and do it for less 

#KikoleForLess https://t.co/5FDO3bDNs0",0,0
14,The most enjoyable part of the day is lunch.🥗 https://t.co/QeHzNlrba4,0,1
15,Dear Baby Hot  I would love to taste you at dinner call me at 314-783-7959 https://t.co/UAopkG0Hes,0,0
16,"We have a special menu will be on Monday 23rd January. If your child normally has a packed lunch and would like a school meal that day, please order from the office. https://t.co/rW7E4RFJ3k",0,0
17,Had a solo lunch date at our favorite wings’ spot.,0,0
18,"@Gutu_Nation I thought people need maBasa? How is there not a shift rotation / cover? Can you imagine every establishment saying the same? 

KuPeturu “dzokerai after lunch”. Nah mann, behave 🙈😂😂😂😂",0,0
19,@HudahSwaleh Come for lunch 🥲,0,0
20,"We have a special menu will be on Thursday 19th January. If your child normally has a packed lunch and would like a school meal that day, please order from the office. https://t.co/EHAWB4DpH4",0,0
21,"If a couple were having lunch in a an establishment where the ambience is gorgeous and cosy, and their child was playing with a book that makes obnoxious siren sounds… would you go and ask them to stop with the book? Cos it’s doing my nut in.",0,1
22,todays lunch 🙏🙏 i love corn https://t.co/9BUOi9Njuw,0,0
