text,likes,followers,popularity,pop_level
i feel so shitty about my body today I want to starve but my dad is taking me out to lunch I'm gonna cry,1,343,0.8463734004360455,1
"i want you to make yourself your lunch and let it sit until it's perfectly mouldy for you to eat 😌

findom femdom paypig asianfindom whalesub",3,277,1.7423956487048307,1
..Wanna go get some lunch?,0,329,0.42561906306608255,0
"hello! not new to edtwt (switched accs) + looking for new moots &lt;3

➜ lio, 6teen, she/her
➜ 170cm 
➜ cw 63 | ugw 49
➜ not fatphobic + very interactive 
➜ ♡s kpop, anime, …

 ♡ / ↻ to be moots!
🏷️: edtwt bonespo thinspo fatspo ricecaketwt meanspo sweetspo fasting diet",4,14,3.156174678205609,2
"20-30 min wait to get a dosa at avrebele mela , I give up 🤣🤣",0,98,0.496094790453775,0
"If Totenham wins tonight,.. am dropping video having lunch with Zuchu",45,7474,8.564402055088419,2
"If you see it do it

pronouns   : he/him
height         : 6'
shoe size    : 11 mens
zodiac sign : Leo
smoke         : yes
tattoos        : yes
piercings     : never
fav color      : green
fav drink      : whiskey cocktails",1,106,0.9827958140337596,1
"Send $10 for my morning smoothie 

$send4shopping",1,9351,0.3312711903826479,0
"So thats how i was in the mood to make soup and i was indecisive... either ogbono and okra or Afang soup, so i wrote my list and went to the market",0,1051,0.352672341530729,0
"The general public in South Africa drinks tea and coffee in the day to wake up but at night to fall asleep. At least in Cae town
They are quite the stressed out people, hypertension is quite common, and the affects of excess stress from living in a murderous hell are visible",0,144,0.47335676921097647,0
With #GlobalCitizenFestival been used a case study for other events held during the holidays. I think the @GlblCtzn remains the master brewery of them all,0,252,0.4410558652603471,0
Went for a swim just now. Was going to go for walk after lunch but weather gone grotty again.,0,974,0.3579278400668356,0
finally bought a flask so i can have hot meals for lunch at work (we do not have a microwave)…….. this willl be my year (because i will enjoy many soups),7,907,2.9021776842392932,2
"When I first started building an audience back in May 2022, I put in about 15 hours a week on top of my day job. 

For months, it was what I did before work, during lunch, and on weekends.

Create. Write. Study. Experiment.

It was a slog:

(A story-thread for audience builders)",294,71455,10.95381411934052,2
why is everyone suddenly baking cookies at the same time,0,142,0.47417185444216703,0
"I’ve been drinking more water and kombucha and smoking A-LOT less…and I feel better. 

Not that I felt bad before…but I feel better https://t.co/QcxdPv9xdu",2,2378,0.8702508993675462,1
"Every day I go to work I'm amazed at the things I've achieved, then I go to the canteen and drool down my own chin while I'm trying to eat my lunch.",1,240,0.8877315030359216,1
Construction lunch break alarm,0,2618,0.2819352058795714,0
getting canceled by the woke mob at golden corral for scooping up handfuls of mashed potatoes with my bare hands and eating it where I stand,11,3875,2.9666969800738294,2
"Nottingham people, y'all don't eat amala??? Why can't I find Amala here . I'm dying please😭😭",0,2188,0.29701119825865413,0
"Loool they way the donny just sweeted the Caribbean aunty in the takeaway shop for his meal to be dropped to £8 pounds is hilarious. He was like mummmy it’s me, i’m a regular you can’t do me like this.",6,5400,1.5157137542702923,1
I be pissed and then be like “you want me to make you lunch”,0,523,0.39802714908915865,0
"So someone sat down, saw bitter leaf and thought; this leaf would make a very ‘tasty’ soup! 

Then went ahead and made bitter-leaf soup a thing? 

And y’all enjoying it?

Who hurt you?",4,1404,1.6590863763307653,1
I had a dream last night where I went back to Miami and the overpriced healthfood smoothie place I like had special chairs on the sidewalk for sunning ones genitals. The chairs were all in use. I feel like this will actually be a thing one day soon,10,2265,3.235635473394719,2
im going to try that hack where you microwave eggs in leftover instant noodle soup to make spicy steamed eggs,5,1020,2.128505417183216,2
"Are you struggling to lose body weight no matter how hard you may exercise or how many strict diets you go on? Not anymore! Alpilean, your body weight losing partner is based on a blend of 6 alpine nutrients and plants designed to target and optimize low inner body temperature",1,0,2.0,2
If she eats fufu and waakye with a spoon 🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩,0,1129,0.34764515980966343,0
Saturday in full swing! Had a massive lunch and now spread on the bed,6,914,2.5357721952831103,2
"Using today to enjoy being in Florida.

A friend and I are going to the art &amp; farmers market in town!

I might also go to the beach later!",3,306,1.7193356744502852,1
"When you go out for breakfast or lunch, look for a diner/cafe/local dive for great food, support local businesses . Say hello to the wait staff, be friendly, smile, eat with a passion  and tip generously.",1,431,0.8194156680845439,1
"Just had leftover South Indian Garlic Chilli my Mum ordered me last night for lunch,a very good one, the curry not my Mum, though she's a very good one too.",2,421,1.2333209052788883,1
"After 5 weeks training while on keto diet (&lt; 20 net carbs/day), lost 12 lbs but 9 lost during week 1. Stronger now, sustaining ketosis, and 5 mile daily runs getting easy. 18 lbs to go before race day. I hate starting abs work with a passion! 🥲
#FitnessMotivation 
#ketodiet",3,1520,1.3033990803118998,1
Indian street food,0,1529,0.3254015184939543,0
I beg of people making thai food to stop putting peanut butter and calling it pad thai,0,97,0.49671138828373507,0
"Let us eat lunch together today! Hm? ""Are you asking me on a date?"" I-I could never do something so unabashedly! Though, I also would not mind if you wished to-!!",0,266,0.4379385204188572,0
"PAX Lunch @ Hwy 55 Burgers Shakes &amp; Fries, 3700 S Memorial Dr E, Greenville, NC 27834, USA
Jan 07, 2023 12:00PM - Jan 07, 2023 01:00PM (60.0 minutes)",0,1127,0.3477706535699652,0
i’m on some housewife shit. packing my boyfriend a lunch in his heated lunch box i got him 💓,0,202,0.45378415147899087,0
Prayers then mixed fruits smoothie to break fast after this morning’s “prison workout” 📈,1,2119,0.5992884423746399,1
"besties i need u
my boss gave me lunch, i ate the filling of a smallish vegetarian sausage roll, and the filling of a palm sized veg empanada
what is edtwt's cal estimate here?",6,613,2.717430227858636,2
Ya pockets on a diet nigga I’m calling you Atkins,2,322,1.280615175961497,1
how tf am i supposed to skip lunch at school pls help,1,84,1.010866771024032,1
At this rate me haffi go start use ramen noodles as egg noodles fuck it,0,2483,0.28644142988299776,0
the way I did all of my assignments I ate lunch worked out and skz still have to perform,1,65,1.0427017703509578,1
The lunch I made today &gt;&gt;&gt; my price suppose don increase,1,1048,0.7057427876602986,1
THe Food At Southern Fire Kitchen Was Top Tier 🤌🏾,0,1080,0.3507705463178166,0
I didn't know there was a Nigerian🇳🇬 Restaurant in Mobay. Why there isn't 1 in Kingston? I wanna try Jollof Rice 👀.,0,129,0.47978683644279807,0
i ate too much for lunch,0,1057,0.3522755566249756,0
I was thinking about how I wished I didn't have to do anything today and then my mom called to say today's aide canceled because she's sick so we can't meet for lunch and now I feel like I cruelly monkey pawed my family :(,2,2319,0.8765597111184552,1
I’ve made a fruit smoothie three days in a row. I guess you could say I’m a health guru now.,8,1718,2.8478162253861004,2
Street food day!,0,152,0.4702118925391897,0
"Uninstall all food delivery app , discipline na sa pagkain :) Back to steam foods diet na lang !",0,326,0.42615283140553345,0
"Have u had lunch??

Answer me",0,385,0.41640404949615917,0
"OJ references his line from The Taco Show, ""I will not be threatened by Mexican food!""",0,140,0.47499919797051654,0
me not bringing lunch to work = doordash whew this habit gotta stop lbs,0,900,0.36329441866220774,0
"I think I’m addicted to Halal food 😩
I wake up thinking about it lmaooo",1,1166,0.6907077710260626,1
"After a long time, I ate so much that I wanted to fall asleep right after having lunch.
I now understand why babies and kids fall asleep right after having milk and food.
If I were rich enough to not worry about money to fund my lifestyle, I would just eat, go to gym n enjoy art",2,1931,0.9215217510642834,1
I want some Jamaican food 😩,0,179,0.46074922562698895,0
Karen’s diner has left me traumatised and I will not go out for lunch again in my life,3,466,1.620110918991593,1
"Mos def wanted a hot chocolate and the lunch special broad day, sick man",0,299,0.43117619694706116,0
"01/07/2023
I bought a new smartphone in Akihabara. It costs 3000 yen. Very cheap!! After that, ate tsukemen with father. This ramen was rare, because the suigyoza was in the ramen. It was delicious.
I wanna eat again!!
＃英語日記",1,0,2.0,2
Craving Thai food,0,180,0.460427798879736,0
Smoothie for breakfast 🥲🥲,1,2267,0.5881507089552166,1
"🗓 Today 9am-12pm @ Franklin Farmer's Market (230 Franklin Rd, 37064) @SFFNash",1,611,0.7768178990781972,1
"🗓 Today 9am-12pm @ Franklin Farmers Market  (230 Franklin Rd, 37064) @SFFNash",0,4432,0.23490001502189511,0
I get chick fil a every damn day for lunch 😭,0,189,0.45761481974345397,0
"Hemp crops are tall, have thick foliage, and can be planted densely, and thus can be grown as a smother crop to kill tough weeds. Using hemp this way can help farmers avoid the use of herbicides, gain organic certification, and gain the benefits of crop rotation.",0,1482,0.32776507270179156,0
