text,likes,impressions,followers,popularity,pop_level
"Reduce your cravings, or better yet, replace what you would normally splurge on with a healthy smoothie.",0.0,58.0,1873.0,0.27865241773484994,0
3 hours in the lunch tent now going home 🤪,0.0,70.0,252.0,0.43182263985868397,0
I could really use a glass of melted ice cream right now with a bit of fruit rolls to nibble on... #thirsty #drinks #snacks #yummy,0.0,7.0,93.0,0.49480308392176087,0
Gonna sustain a healthy diet over my days off (4 beers for breakfast and not eating until just before I go to bed),1.0,46.0,43.0,1.0914260510751974,1
i need the trans of what chanyeol said in the food truck,0.0,66.0,753.0,0.3558127583063243,0
Albert Collins—Soul Food,0.0,2.0,147.0,0.4659181190731891,0
"Another Sunday as an Ekiti downline, today I no fit carry pounded yam over... Sundays are for pounded yam!.... Don't ask, yh, I no fit pound am from start to finish.... I can only kill it, if you know what that means 😂🤲🏽",3.0,37.0,152.0,1.8552733118611777,1
that feeling when a big chunk of hard-boiled egg peels off with the shell. 😑,56.0,9640.0,304330.0,0.35139746600255606,0
Missed you a lil extra this week. Maybe coz it’s your bday week? Maybe. I saw your lunch date with your friends. You already introduced her to them.,0.0,20.0,190.0,0.4497826624331929,0
I need to make a slime smoothie rn,2.0,31.0,24.0,1.7630940136382205,1
Let me make a beetroot and watermelon smoothie 🤭,1.0,2369.0,104916.0,0.03441211091002242,0
Breakfast and lunch dates are way better than dinner.,0.0,32.0,996.0,0.3336857082383363,0
"I want to go on a date where we head to an aquarium in the morning, then have something yummy for lunch, then an arcade to play some games, then compass cafe to just sit and play some more

Would be pretty damn cool 😎",1.0,479.0,1776.0,0.5670860557177276,1
- I’m Going To Captain D’s For Lunch I Think Yes !,0.0,100.0,1181.0,0.31952721642196086,0
It’s not unusual to have instant ramen past midnight right? 🫣 #AskingForAFriend,1.0,27.0,591.0,0.7478560409456044,1
I’m gonna have the teriyaki chicken set for lunch today...☆,0.0,8.0,387.0,0.4036136279404047,0
"Hennessy Cognac go along with butterfly pea kombucha 🦋 and quail eggs as the snack! Oh Lord, I just run 5.5k, but end the day with those. What a life.",0.0,43.0,209.0,0.4437555856829189,0
Preparing lunch rn 🌼,0.0,17.0,770.0,0.3540958573949685,0
i wonder if i can microwave my meal in this container?? *reads the underside* ah. it is all japanese,2.0,112.0,702.0,1.0834580730920003,1
"I had a fish finger sandwich for lunch, I'm currently drinking chocolate milk and I have pie and chips lined up for tea. I have very few regrets today 🙂",27.0,1490.0,1593.0,8.215423842075268,2
