text,likes,impressions,followers
"Reduce your cravings, or better yet, replace what you would normally splurge on with a healthy smoothie.",0,57,1873
3 hours in the lunch tent now going home 🤪,0,69,252
I could really use a glass of melted ice cream right now with a bit of fruit rolls to nibble on... #thirsty #drinks #snacks #yummy,0,6,93
It’s a two week out item ordered two boxed for next week. Forgot how many wrestlers are cutting weight remember to suggest it as snacks it’s non gmo project,0,6,7
Gonna sustain a healthy diet over my days off (4 beers for breakfast and not eating until just before I go to bed),1,45,43
i need the trans of what chanyeol said in the food truck,0,65,753
Albert Collins—Soul Food,0,1,147
"Another Sunday as an Ekiti downline, today I no fit carry pounded yam over... Sundays are for pounded yam!.... Don't ask, yh, I no fit pound am from start to finish.... I can only kill it, if you know what that means 😂🤲🏽",3,36,152
that feeling when a big chunk of hard-boiled egg peels off with the shell. 😑,56,9639,304330
Missed you a lil extra this week. Maybe coz it’s your bday week? Maybe. I saw your lunch date with your friends. You already introduced her to them.,0,19,190
I need to make a slime smoothie rn,2,30,24
Let me make a beetroot and watermelon smoothie 🤭,1,2368,104916
My bf packed me tamales for lunch at work🥹🥹🥹🥹,0,7,31
Breakfast and lunch dates are way better than dinner.,0,31,996
"I want to go on a date where we head to an aquarium in the morning, then have something yummy for lunch, then an arcade to play some games, then compass cafe to just sit and play some more

Would be pretty damn cool 😎",1,478,1776
- I’m Going To Captain D’s For Lunch I Think Yes !,0,99,1181
It’s not unusual to have instant ramen past midnight right? 🫣 #AskingForAFriend,1,26,591
"this is a lunch's menu, Stewed Chicken🍗, severed with Rice🍚 , then vegetable for today will recommend with Tomato🍅",0,1,31
I’m gonna have the teriyaki chicken set for lunch today...☆,0,7,387
"Hennessy Cognac go along with butterfly pea kombucha 🦋 and quail eggs as the snack! Oh Lord, I just run 5.5k, but end the day with those. What a life.",0,42,209
Preparing lunch rn 🌼,0,16,770
i wonder if i can microwave my meal in this container?? *reads the underside* ah. it is all japanese,2,111,702
"I had a fish finger sandwich for lunch, I'm currently drinking chocolate milk and I have pie and chips lined up for tea. I have very few regrets today 🙂",27,1489,1593
"for dinner tonight, a version of coq au vin, alfredo farfalle,  sauteed broccoli with radish greens",0,13,221
"Nashua Liberty Social - 5:30 to 7 tonight at @Able_Beer.
Donali Food Truck is there today but wraps up at 6PM so if you are looking for food, please be there before that.",0,38,284
chanyeol sent a food truck to junmyeon 🥺🥺🥺💘,1,63,1804
"That's the thing, Drack. I had a load of garlic the good kind to use. Popular. And went through it all overnight while I was upside down asleep. I wonder when Mario's gonna bring his food truck IRL *hiss #randomthoughts #videogames #nom #vampires",0,27,339
Bouda go make a smoothie,0,176,1991
"Had lunch with a dear friend. At the end, she told me she completely understands what I am going through with my husband dying, because she got divorced, which i supported her through, and I know it really devastated her. It still felt like a punch. #Anticipatorygrief #als",1,33,18
check on yalls food truck warrior oomf lmao,14,3176,203
Lunch... We'll go back to Wangshu Inn.,0,23,24
Alligator pepper soup 😮‍💨,1,89,625
Farmers market been weak lately.,0,7,17
"I really need a break from work, a break from everything really. Just like a chill couple of days where I can go to a garden and a farmers market and take naps and eat fruit and go hang out in nature",2,25,63
how can i describe this new fear i’ve adapted where it’s like if i eat let’s says salmon for lunch i’m not capable of eating any other protein after that or when a friend wants me to try their burger while i’m eating chicken i start freaking out in my head,4,458,3001
"Happy Sunday Funday. Here's a brunch cocktail to get you started! 
1 oz. Rabbit Hole Cavehill Bourbon
½ oz. Cointreau
7 dashes Angostura bitters
7 dashes Peychaud’s bitters
Champagne",7,964,6445
need to find a good smoothie spot,1,210,886
"Lemme go and watch this match in a bar, with 2 bottles of Guinness stout and a plate of catfish pepper soup. 

If Chelsea win, na match I come watch. If we lose, na flexing.",283,12690,93193
Nick insisted on eating with me and my friends at lunch and Tao is staring daggers at him from across the table,0,3,40
"Well, when I was a girl I learned that baking my cupcakes is going to help you – after all, frying all my nieces and nephews isn't a whirlwind.",0,1,15
"Yesterday I took myself out to lunch alone , I hate it was lonely as hell but imma try again soon.",1,83,745
TeddyKillerz: I fucking love french onion soup,1,82,660
anybody know of some good Thai food in Brooklyn?,1,184,721
worst part ab opening is that when it comes time for my lunch break its only 10am and lunch places arent open yet but its too late for breakfast bc ive been up since 4:30 am,1,68,612
I want some soul food,0,89,811
"I starting my lunch from now bc when I’m ready to eat, I don’t wanna be waiting",0,99,807
cutieee chanyeol sent a food truck to suho 🥰💛,0,45,1028
I know what I’m doing for dinner already lol but still no idea what i want for lunch 😩,0,36,844
traded in going to bars to getting brunch/lunch/dinner lmao,0,48,381
"Scientific fact: Tomatoes are technically a fruit because they have a saccharine based flesh that contains seeds.

Culinary fact: Ketchup is technically a smoothie.",17,479,2146
My fiancé stays feeding me good ass food I always have to come back to Germany and do a cleanse. I’m worried about how it’ll be when we live together 😂,1,90,158
"TartaLi 

Zhongli finding a pregnancy test on his office desk after talking to a client. He’s about to return it to the woman but Childe came to pick him up for their lunch.

💧You’re pregnant?!
🔶I’m not—
💧Since when?
🔶This is not—
💧Not mine?!?
🔶NO! I meant I’m not pregnant!",260,3755,6162
AHHHHH CHANYEOL GAVE FOOD TRUCK TO SUHOOO 😻,1,31,197
"Smoothie &amp; Sampling with a splash of Homemade Apple Cinnamon Oatmeal
.
Enjoy your day",9,826,1953
Came to church to eat and now how do I ask if the food is halal 😭,3,1189,1165
Society eats so much junk food that eating real food is considered dieting,0,240,203
Anyway am auto unfollowing or blocking people who write essays on my twitter 🙄 look man I’m not here for your novel length recount of what you had for lunch,16,1336,18646
"Today is instant yakisoba, so let's prepare it with care, poyo~☆",0,5,85
"You have a big circle of friends but none of them knows if you had lunch🤔, young king you’re alone in this world👌",2,40,1513
Cooking dinner tonight. Well lunch for dinner,1,235,2083
"Americans, it’s your drugs, food and diets killing you. If only you would ban unneeded meds. McDonalds and bars like you banned children’s lives, you may have actually saved lives.
Instead, you ruined them.",2,55,1851
"Recipes of the Week

Looking for recipes to try this year? Let’s explore together!

To kick things off, let’s start with a popular Japanese dish: Teriyaki Chicken! 🇯🇵

Here’s a compilation of 6 Teriyaki Chicken variants which you can try:",0,10,5
Sometimes you need a simple meal like Ramen Noodles. Don't judge me. I said what I said.,1,47,1171
"# Inspire Investing chief says environmental, social and governance strategies have been weaponised 🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗Al desko to alfresco: three of London’s most fascinating lunch-break walks",0,0,1
# Chinas Bank of Qingdao has taken the Hong Kong-based company to court 🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚Home cocktail-making boosts revenues despite supply chain disruptions,0,2,4
"CHRISTOPHER CAREY, ST. LOUIS POST DISPATCH BUSINESS REPORTER TOOK ME TO LUNCH AND COLLECTED INFO. HE WAS NO LONGER ALLOWED TO WRITE ABOUT MYSELF OR COBALT SITE. HIS ONLINE SHARESLEUTH WAS LATER BOUGHT BY BILLIONAIRE MARK CUBAN.",1,28,934
First new recipe of 2023 happening today! Lemon garlic chicken. I'm serving it with roasted butternut squash and pilaf,3,119,167
When I’m home my mom loooooves to say “can you make lunch” and then leave,2,57,26
"A lunch date or a coffee date during the week works so much better for me! As a single parent, my minions are in school so I don't have to ""find a sitter"". That gives us time to talk, enjoy the food, walk around for a little etc uninterrupted",3,155,2592
"Workout and then lunch. 
Hope everyone has a wonderful day today.",2,54,982
"We do business together, we marry each other you buy my spare parts, I chop your suya but when It comes to elections, making a critical decision which will bring development. you become my hardcore enemy.courtesy of our leaders . We need to wake up",6,344,2613
I made this smoothie thick as a mf I’m eating it with a spoon😂 I refuse to rewash this blender,1,84,670
I love cooking for people but a meal prep job...whew I need to practice my time management in the kitchen and refine my skills. Also I'm not hella familiar with cooking Korean cuisine so they better get used to Caribbean/fusion food.,5,185,1375
This little diet and gym shit is kicking my ass. I just wanna be rich and get lipo…,0,189,13371
chanyeol sent a food truck to suho 🥹,0,73,308
"Iru and garri for lunch, you nko",0,24,176
"Yeah, Im losing weight rapidly on this liquid diet, but on the bright side, I'm feeling great!

No sluggishness or bloating whatsoever just pure energy and focus.

20 more days to go on this liquid diet, it’s challenging, but increased energy makes it worth it.",21,1555,25963
FOOD TRUCK FROM CHANYEOL 😭❤️,0,31,382
"My Sunday Plan: 2 errands, lunch, 🎄 takedown, &amp; some sm 🏡 tasks then chilling in the evening provided I don’t get distracted",0,31,601
"Making Paella tonight: chicken, sausage, saffron, whole lot of paprika.",1,63,1376
Dal khichdi is my fav comfort food man. Can never go wrong with it,2,313,1106
chanyeol sent a food truck to junmyeon 😭😭😭 what if umiyak ako fr fr???!,2,120,223
I’m hungry guess I’ll eat my lunch at like 11,0,136,14180
"Hi, I'm back on my 4 hours a night sleep schedule. Today I remembered to add honey to my smoothie. I'm waiting for a pizza to finish cooking. I plan on setting aside time to read today. I might do another load of laundry, but I'm definitely going to continue organizing/cleaning.",5,98,320
miss my ex just bcs of instant noodle. 🤧,0,31,538
"Y'all health mofos need to wake up on the benefits of the Mediterranean Diet. Yeah switch the protein upwards but only eating rice and chicken just doesnt feel the same. Get that extra virgin olive oil veggies, fruits, legumes, nuts in your system and feel the difference",0,56,140
Please don’t judge me but for lunch I have consumed a bounty bar and a huge wedge of Xmas cake,1,46,67
I want a smoothie maker.,0,98,3172
For the last 2 years Me and Wife spin a globe and wherever we stop at is where we get Lunch…Today is Lebanese 🔥🔥🔥🔥,11,715,1394
My toxic trait is I load $25 onto my @ChickfilA app just to have ‘free’ lunch for the next days,3,594,891
'Are you eating?' Sapnap chews. 'Yes.' 'In the middle of my super emotional conversation?' 'It's my lunch.' (HW),0,19,15
"My Dad, 80, casually revealed at lunch today that he was the Director of the Scottish Manned Spaced Flight Programme. He had a tie and everything. How did I not know this? 🚀🏴󠁧󠁢󠁳󠁣󠁴󠁿😂",1,58,138
"Just got my copy of @thefullhelping’s The Vegan Week cookbook and OMG it’s gorgeous! Especially the paper used for the pages. 

This is my seventh or eighth cookbook I’ve recipe tested for and it’s always an honour. Can’t wait to dive back into these recipes!",1,85,120
ice cream will always be my comfort food,1,32,11
Abeg Abeg ! Naming ceremony/ burial jollof rice dey hungry me chop like this..any location???,0,69,166
all these food trucks whew it's exo's actor era truly,0,27,737
"go grab some lunch nd
eat some cucumberrrrs
/lyrics",0,44,185
# Revenue is up for the group that runs cash-for-crypto kiosks but it is hard to see how growth can be sustained 🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑Russia’s invasion to have ‘enormous impact’ on world food supplies,0,77,1
chanyeol sent a food truck for junmyeon 🥺,0,20,1970
any1 on dis tl ever tried cutting out sugar from their diet?,0,238,284
"I just want to make me breakfast , lunch , dinner , play my game and watch my show with my phone on dnd .. Don’t bother me I’m in my own world",0,98,5792
chanyeol sent a food truck to junmyeon's filming site 🥺🤍,2,50,214
"Interesting Sunday lunch conversation. A consensus that life at the start of 2023 could not be expressed in such emotions as anxiety, despair, hope or faith but only as unutterable boredom. Now I know that the system is doomed. People cannot stand to be bored for long.",2,95,1498
Chanyeol sent food truck to his junmyeon hyung 🥺,0,33,248
"Everyone in my household will be

- optimal blood chemistry
- optimal blood pressure
- less than 20% body fat
- BMI 25-30
- if you are 173cm then you'll not be heavier than 68kg
- abnormal teeth is corrected or removed before graduating GS &amp; HS
- whole food plant-based diet",0,19,1
"Azerbaijani media reports that a few days ago a Karabakh Armenian resident somehow managed to approach an Azerbaijani military post near Lachin to ask for food and cigarettes. Today, with plastic bags, he was taken to Stepanakert by Russian peacekeepers. Pics, videos circulating.",6,2361,12432
# Politicians and regulators have failed to plan sufficiently for the shock so far but there are steps they can take 🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚Home cocktail-making boosts revenues despite supply chain disruptions,0,0,0
"Look, when I was 22 I was skinny, white, clear, &amp;hot as fvck. my only diet was water, ramen, coffee, vodka&amp;capri. The only exercise I have is walking drunk at the party with my 5inches kitten heels. You don’t impress me. Come back when you’re 40😉",0,28,97
i think a lot of southern food started with french inspired recipes but eventually devolved into fried pork with nothing but salt,3,98,186
Swiss chocolate in the smoothie,0,351,7831
# Decision follows sharp rise in food prices due to Russias invasion of Ukraine and Covid pandemic 🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑BlackRock to close two Russia-focused ETFs,0,1,0
"Aaaaa so sweet
Chanyeol sent food truck for Suho 🥰",0,66,314
Definitely want comfort food today.,0,101,1607
chanyeol sent a food truck for suho? 🥺🫶🏼,1,218,2036
chanyeol sent a food truck to junmyeon 🥺,0,33,370
"this is a lunch's menu, Deep fired Lamb🍖, severed with Spaghetti🍝 , then vegetable for today will recommend with Onion🧅",0,1,31
"There is no lunch or dinner in a dr's life , you eat when you get time.",12,557,1439
seems like chanyeol sent a food truck for junmyeon?? 🥹🥹,6,547,2060
I think I kinda messed up for Sunday 😂 I ate lunch at the cafe and still have a roast for dinner this evening. I feel so full and have to eat again in 3 hours.,0,19,526
I gave up on a healthy diet  because it’s hard.,0,0,20
Chanyeol sent a food truck to Junmyeon 🥹❤️,0,87,586
Any legal teens need money for lunch or selling content #BUYINGCONTENT #Sellingcontents,11,607,391
CHANYEOL SENT A FOOD TRUCK FOR JUNMYEON,5,126,740
chanyeol sent suho a food truck support 🥹🫶🫶,0,38,75
fun boy three is ltrlly my comfort food holy crap everytime i eat that shit i get reminded of how great life can be sometimes &lt;3 luv u threebuns,1,73,53
"Well, that was nice. Had plans to do not much today and then 5 friends with 4 dogs messaged as they'd driven out for a walk in the forest and wondered if we were able to join them in the pub down the road for Sunday lunch. Excellent unexpected hugs and food!",7,206,1338
This smoothie I just made 😋🔥,0,44,666
Chanyeol sent food truck for Junmyeon's filming!,0,47,418
Wait food truck from Chanyeol???,1,105,6082
CHANYEOL SENT JUNMYEON A FOOD TRUCK 😭😭😭😭😭,0,33,326
chanyeol sent a food truck for myeon 🥹,0,45,232
"20-21 Our Scriptures tell us that if you see your enemy hungry, go buy that person lunch, or if he’s thirsty, get him a drink. Your generosity will surprise him with goodness. Don’t let evil get the best of you; get the best of evil by doing good.",0,4,1
Stop! Chanyeol sent food truck to Suho! My heart ❤️ 🍒🐰,0,25,318
"My jollof rice come be like pap🌝 I don cook rubbish ooo 

Shege 1-0 Berry 🥹",3,258,11085
chanyeol sent a food truck on junmyeon’s set 🥺 my suyeol 🥹,0,47,31
"Just made this man’s packed lunch for the week and tbh I would wife me too!
Food bangs way too much🤤🤤🤤",0,51,304
