text,likes,followers
need me a perfcet peach to go to the farmers market with,0,69
"been thugging through the morning on just chamomile tea &amp; a granola bar, probably finish this lil salad for lunch. idk who I think I am",1,2500
"The Mental Health club will meet today in room 611. 
Come out at lunch to learn about the work of youth mental health organization ""Jack dot org""",0,346
# HSBC expects value of average British home to drop 7.5 with central London falling further 🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚Home cocktail-making boosts revenues despite supply chain disruptions,0,1
My orders are ready at Walgreens and Safeway 🙌🏾 I’ll pick them up on my lunch break so when I get off I only need to make 1 stop 🥰,0,463
This floods pasta for lunch about to touch my soul … might have to leave work after lol,0,2745
I want coffee but I also want a smoothie 🤔,0,290
"Need to decide lunch, tacos or a burrito?",0,18765
"People go on crash diets like vegan for a month or no sugar for 2 weeks and drop weight. 
Then all of a sudden those are the best things ever when in reality they just don’t eat as much overall. Weird concept.",0,260
New Holland Full Circle   (@newhollandbrew)  is now on tap,0,55
hi guys im on lunch,1,374
"Irina Shayk should own Russian Tea House in Los Angeles.  Russian lunch, Russian dinner and Russian afternoon tea.",0,3
I need to figure out what’s for lunch.,0,680
"You guys do know you can achieve the exact same effect as your deranged anti seed oils diet with high omega 3 foods (which includes flaxseed oil!) to counteract over abundance of omega 6, right? Like it’s the omega 6 to omega 3 ratio that causes inflammation",2,146
# Mixed opinions on whether the Fed will cut interest rates next year 🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳Decision follows sharp rise in food prices due to Russia’s invasion of Ukraine and Covid pandemic,0,0
Prolly gonna hit up the book store on my lunch break … down bad.,1,191
"I had a big lunch. Chickpeas, stew with soy chunks and spinach. I am now STARVING!
This wouldn’t be happening if I was still on leave. Work is haram.",8,14344
"this project really amazing

- #GMO #GrowMine #LetsMineTogether #KDA #BNB #PassiveIncome #Cryptomining",0,67
"So. Passed the greatest test yet for a novice at ""dry January"", lunch with @JancisRobinson the legendary @FT wine columnist. Ready for the next challenge... Thoughts welcome",24,9762
Mimi niko hapo na chapo madondo na avocado alafu my pal whose resolution is to diet in 2023 is having cabbage and cucumbers for lunch. Wuueeh 🙌🙌,19,9066
Not even 10:30 and I am ready for lunch,0,1060
Brewery piss up couldn’t organise place in order relevant for yourself #dontcare #workplaceproblems #lefthandrighthand,0,10
Where will I eat lunch in Derry?,8,12854
I want to eat biriyani and crispy fried chicken and white sauce pasta and masala dosa and fish cutlets and spicy kababs and butter naan and butter chicken,57,1494
"# Renaissance Technologies, DE Shaw, Bridgewater and others buy stock worth more than 900mn in second quarter Decision follows sharp rise in food prices due to Russia’s invasion of Ukraine and Covid pandemic",0,3
"S-senpai? What do you think about today’s lunch? I think I’m improving b— oh the band-aids? Don’t worry, senpai, I’m just a bit clumsy.",0,41
today i had double biology and then 4 frees and revised biology and had double biology after lunch,1,164
"Ate amala without ewedu today, felt like a criminal offence 🫠",0,1216
"NICE QUICK LUNCH SUGGESTION: fry some gnocchi in a pan then turn the heat off and mix in a spoon of pesto, a lil spoon of those pre-chopped jar chillies, and a big spoon of creme fraiche then mix it all about and grate some cheese on top.",1,1008
"Caroline Manzo has lunch with Drew in prison, during a conjugal visit from her BBF during their trip to Rome. In upstate New York, Quinn opens up to Peggy Sulahian.",0,206
he paid for my smoothie and listened to my favorite album but does he like me,2,31
"I broke up with this Kumasi Girl when we went to Pizzaman and ordered Jollof and she was like ""Maame wanto y3n so"" when they brought it🤦🏾‍♂️ https://t.co/Ruh0LhTfzc",1661,168043
When i lives in Ypsi i used to complain about there not being any enough Thai food and ANY Indian food. Guess what? Now both are opening super close to my old apartment 😭😭,1,143
"Day 1 of tracking self improvement:
-meditated for 10 mins ( i guess i did decent as a newbie)
-went to gym
-uploaded new gig on fiverr
-starting making a udemy course
-practiced gratitude 
-booked fb ad agency
-made diet plan for lean bulk
Did 2 wrong things",0,10
I’m really hungry I can’t wait til lunch is here 😩,0,785
You know you’re half Spanish when you balk at the suggestion to have lunch at 12:30.,0,345
"Has the Biden Administration disclosed where illegals crossing the southern boarder by the thousands are being taken? Who pays for their housing, food, medical care, education, etc? Why are illegals more important than the citizens who are homeless?",0,6
just had a perfect morning pilates sess (via YouTube) + post-workout breakfast smoothie,4,1717
I had Esther’s Soul Food Kitchen yesterday for the first time and I’m definitely going back. When I say that food HIT!!!,0,442
After 8 years I ain’t use to this 30 minute lunch break. Give me back my 1.5 hour lunch break 😩,0,218
Lunch and haircut got paid for today. Happy J9 to me 😂,1,7605
"Working from home and can hear all the kids leaving school and wondering how we managed to fit so much into such short days at school. 6 hour days with a morning, lunch, and afternoon break should be compulsory for the workplace too.",9,1512
"Bara characters should always be depicted with realistic diets and exercise routines.

I want to see your beefcake wolf eating pounds of bland chicken breast out of microwaved meal prep containers. Complaining about pooping 5 times a day. Being unable to touch their toes.",17,8701
i burned 200kcal dancing on an empry stomach and felt like i was gonna pass out i think im gonna have lunch since im going to the gym later,0,596
"I get a bunch of Turkish pastry chefs on my Instagram search page. My second question, after “Why?” is if they use chopped or crushed pistachios on almost everything, or if I just get a very niche segment of their dessert culture.",0,416
"I’ll never understand why people put veggies in jollof… 

Isn’t that what fried rice is for? 
Especially when they add peas??? Stop. 😖",2,929
cant watch the concept clips until lunch…i’m so upset,0,40
eating Christmas leftovers for lunch 😋,1,48
I love watching Indian street food videos… that is true value-for-money and I can smell the yummy masala,6,96
"If y’all think Roc Nation is powerful enough to put a famous black man in jail, why come more people aren’t taking lunch with Jayz over the money?",2,1193
"Xin chao! You love Vietnam? So do we! 

Your local cuisine dish will be 🥁 
 
Vietnamese pancakes.  

I challenge you to eat this dish with a butter knife!! And without closing your elegant eyes.",0,51
"Lastnight I downloaded this app that’ll give me recipes based on ingredients I already have. 

I made a lemon garlic butter chicken breast, brown rice and salad with strawberries, black berries, carrots, fried onions and a lemon vinaigrette.  10/10!",571,18520
"In this market situation this project are strong team support and future gem this opportunity because surrounding ecosystem is very good.🧨.
@Harshsinhs
@m51845137
@naranshih
@surpalrajput95
@HIRENPANCHIWAL

#GMO #GrowMine #LetsMineTogether #KDA #BNB #PassiveIncome #Cryptomining",0,107
"If your child would like to take part in the 2023 season for lunch time Tekkers Tuesday football tournament, Mr Burton has emailed a Microsoft Form to all Y9 students. Please register your interest via this form. @wbhspe",0,206
"this is a lunch's menu, Grilled Bacon🥓, severed with Potatoes🥔 , then vegetable for today will recommend with Onion🧅",0,31
"Also, doing things for the purpose of ""losing weight"" is such an L, like, I do recommend working out if you can, and your diet is your own business so whatever as far as I'm concerned.

But if the entire motivation is ""losing weight"" just chop a leg off, bam, instant weight loss.",0,40
why is hyunwooks insta dead? he should ve posted yummy vietnamese food😙,0,261
"Just done the ICF at Poplar , now off for a late lunch .",4,4156
Ready for lunch.,0,1412
Got hungry at work and tryn not to eat my lunch so I got some damn peanut butter crackers out the machine 🤮,0,367
I need to find the cup noodle with the perfect balance of affordability and not being shit.,2,1034
"Hey @SpicySOLami, I'm sure you're loving all the hype around memecoins 🤨😒. Just remember that when it comes to crypto tokens, there's no such thing as a free lunch! 🍔",0,3
"damn i was concerned on my 1st math exam when it took 6 hours to finish, but tleast we coud go get lunch or sthn, stathiccs legit be written out for 8h this semester lmfao",1,6
Going to the gym today but not feelin it this morning. Seem like a lunch time move today,0,690
"Am I the only person who wakes up and drinks a big glass of Gatorade instead of coffee?

How tf you guys even deal with the dehydration?",0,100
EW I HAVE A LUNCH,0,158
"Since it is now 10:15 am Eastern Time is it acceptable for me to eat ramen for ""brunch""?",8,81
Nothing. Sitting at my desk thinking about them wings i cooked for lunch today….,0,1205
If any pretty girls in DC wanna get lunch with me maybe 🥺👉🏾👈🏾 hehe,8,62234
I had croissant French toast in Houston and omg,1,261
Might make a tik tok account of all the dumb things i make for lunch working in a kitchen cause some of the are proper munchie inventions,4,144
"“Unhealthy diets and junk foods accumulate and eventually you’ll die.” - Seo Juhyun (We Got Married Season 1, 2009)",0,222
so… no bacsilog for lunch? 🥺😔,3,1051
"I've been feeling really weak lately, as in not strong. All the good core strength I built up during the pandemic after my cancer surgery, when we were walking Ladybug every day at lunch is just gone--part from her not being able to walk and",34,2400
"Might go to Whole Foods for lunch, it’s been a little minute.",0,459
I can’t believe y’all actually eat and enjoy instant ramen,0,489
"This Queso Chorizo Casserole is a fun breakfast, lunch or dinner! Spicy chorizo sausage, colorful vegetables and dairy-free queso sauce are combined and baked in the oven.",0,3776
# Russian state group has kept sufficient deliveries to Europe to ensure bumper profit this year 🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩Prices for prime Midwest ground climbed by up to a third in past year as world food prices hit records,0,2
"I still dey wonder wetin dey inside Garri wey make am sweet, omo that stuff too sweet😫😫😫❤️",1,466
"What's the most ""Long Island"" thing you can eat with Toasted Lager? Asking for a friend...",1,20463
"Made My first Smoothie of 2023 🥰 it's a bit powdery, maybe its the hemp protein I added, but I likes it... It's Giving chill Vibes ✌️",0,77
Christmas period had messed my son up bc he’s like ‘mum wdym I can’t have chocolate for breakfast lunch and dinner anymore?’,1,16
For @HappyWilbard to start selling her meals instead of giving it out for free and then complain about her lunch boxes not being returned every week 🕯️🕯️🕯️🕯️,0,6613
Mexican food wants to talk to a bakery,0,8
"Going for a lunch break on foot in #Glasgow:
1) From sunny it starts pouring after 5min 🌧️
2) 15min later I come all wet to the bakery
3) It's closed 🔒
4) Another 5min, another bakery, then subway 
5) Subway doesn't work 🚇

🤦🏻‍♀️🤷🏻‍♀️😭
Soaked and frozen. A warm welcome back.",4,687
"But why do cuca shops have to open after lunch?  You are putting someone's bread down like that. 

How do you force someone to feed him/herself ano?",0,593
"On my drive half way to work, I forgot to bring my lunch 🙄",0,203
"Happy birthday to the love of my life, @thomafficial . Ill be at the estate soon to pick you up and take you out for lunch and give you your gifts.",1,185
"I should be healthy and make me a smoothie, buttttttt I want some French toast, shrimp &amp; grits, and an omelette.",0,1503
"Colleague nearly in tears 2day trying to get a GP appt. She was on hold for a total of 2 hours this morning, 4 separate calls each ending with line going dead. In desperation she went to the surgery in her lunch break. Was told she has to make appt on the phone. System is broken",0,306
"Please oo, for the spiritually young folks like me. Are we allowed to eat ""like no tomorrow"" (Ije wuru) when it's time to break a fast?

E.g 4 wraps of fufu with egusi and 4beefs(bokoto inclusive). In conjunction with Maltina to step it down 
This is what I had and I feel guilty.",0,236
Took a nap instead of eating anything... not even breakfast or lunch,0,210
"Making Colcannon later and all I can think about is what @xMrsGrealish69x would think of it 🙃 

I’m turning into an irish mammy",1,73
"If a tomato is a fruit, then is ketchup a smoothie?",2,72
bro he gave me food for lunch and im so fucking excited 🥰🥰,1,10
"Been up since 5am , finna have a good lunch 💯",0,695
i’m making greek food today i’m missing the summer vibes,5,3907
I wonder do Quiana want to take me to lunch ☺️,0,1158
These kids are driving me nuts today 😫😫and they have last lunch so I can’t even eat until 12 lmao,0,44
